#element,sp_num,g,Level(eV),Uncertainty(eV)
Cu,1,4,10.36319000,1.70000000E-04
Cu,1,6,10.36389000,1.70000000E-04
Cu,1,4,10.37429000,1.70000000E-04
Cu,1,6,10.37507000,1.70000000E-04
Cu,1,4,10.37993000,1.70000000E-04
Cu,1,2,10.38446000,1.70000000E-04
Cu,1,4,10.38994000,1.70000000E-04
Cu,1,4,10.39203000,2.50000000E-04
Cu,1,2,10.43094000,1.70000000E-04
Cu,1,6,10.39203000,2.50000000E-04
Cu,1,4,10.39744000,1.70000000E-04
Cu,1,4,10.40250000,1.70000000E-04
Cu,1,4,10.40695000,1.70000000E-04
Cu,1,2,10.41167000,1.70000000E-04
Cu,1,2,10.41778000,1.70000000E-04
Cu,1,4,10.41946000,1.70000000E-04
Cu,1,6,10.42147000,1.70000000E-04
Cu,1,2,10.44298000,1.70000000E-04
Cu,1,,10.44519600,
Cu,1,6,10.44562000,1.70000000E-04
Cu,1,2,10.46139000,1.70000000E-04
Cu,1,6,10.46360000,1.70000000E-04
Cu,1,2,10.47616000,1.70000000E-04
Cu,1,6,10.47783000,1.70000000E-04
Cu,1,2,10.48076000,1.70000000E-04
Cu,1,4,10.48749000,1.70000000E-04
Cu,1,2,10.48962000,1.70000000E-04
Cu,1,2,10.49735000,1.70000000E-04
Cu,1,2,10.50491000,1.70000000E-04
Cu,1,2,10.51070000,1.70000000E-04
Cu,1,2,10.51604000,1.70000000E-04
Cu,1,2,10.52060000,1.70000000E-04
Cu,1,2,10.52766000,1.70000000E-04
Cu,1,4,10.53248000,1.70000000E-04
Cu,1,,10.55906100,
Cu,1,2,10.56092000,1.90000000E-04
Cu,1,4,10.56462000,1.90000000E-04
Cu,1,4,10.57822000,1.90000000E-04
Cu,1,2,10.60020000,1.90000000E-04
Cu,1,2,10.58663000,1.90000000E-04
Cu,1,4,10.58834000,1.90000000E-04
Cu,1,2,10.60501000,1.90000000E-04
Cu,1,4,10.60646000,1.90000000E-04
Cu,1,2,10.61936000,1.90000000E-04
